N,mu,mutation,run,found,generation_found,best_fit,best_individual
6,50,0.1,1,True,1,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.1,2,True,2,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.1,3,True,7,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.1,4,True,10,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.15,0,True,4,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.15,1,True,1,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.15,2,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,50,0.15,3,True,3,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.15,4,True,6,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.2,0,True,3,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.2,1,True,4,15,"[1, 3, 5, 0, 2, 4]"
6,50,0.2,2,False,-1,14,"[0, 5, 3, 1, 4, 2]"
6,50,0.2,3,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.2,4,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.3,0,True,1,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.3,1,True,2,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.3,2,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.3,3,True,6,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.3,4,True,13,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.01,0,True,4,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.01,1,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.01,2,True,5,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.01,3,True,4,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.01,4,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.05,0,True,3,15,"[4, 2, 0, 5, 3, 1]"
6,100,0.05,1,True,4,15,"[4, 2, 0, 5, 3, 1]"
6,100,0.05,2,True,12,15,"[4, 2, 0, 5, 3, 1]"
6,100,0.05,3,True,2,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.05,4,True,3,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.1,0,False,-1,14,"[1, 5, 4, 2, 0, 3]"
6,100,0.1,1,True,2,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.1,2,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.1,3,True,4,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.1,4,True,3,15,"[2, 5, 1, 4, 0, 3]"
6,100,0.15,0,True,6,15,"[4, 2, 0, 5, 3, 1]"
6,100,0.15,1,True,14,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.15,2,True,18,15,"[4, 2, 0, 5, 3, 1]"
6,100,0.15,3,True,6,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.15,4,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.2,0,True,2,15,"[2, 5, 1, 4, 0, 3]"
6,100,0.2,1,True,5,15,"[2, 5, 1, 4, 0, 3]"
6,100,0.2,2,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,100,0.2,3,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.2,4,True,2,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.3,0,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.3,1,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,100,0.3,2,True,19,15,"[2, 5, 1, 4, 0, 3]"
6,100,0.3,3,False,-1,14,"[3, 0, 2, 4, 5, 1]"
6,100,0.3,4,True,2,15,"[3, 0, 4, 1, 5, 2]"
8,20,0.01,0,True,4,28,"[6, 3, 1, 4, 7, 0, 2, 5]"
8,20,0.01,1,True,6,28,"[4, 1, 7, 0, 3, 6, 2, 5]"
8,20,0.01,2,True,3,28,"[4, 1, 7, 0, 3, 6, 2, 5]"
8,20,0.01,3,True,1,28,"[4, 0, 3, 5, 7, 1, 6, 2]"
8,20,0.01,4,True,58,28,"[4, 1, 7, 0, 3, 6, 2, 5]"
8,20,0.05,0,True,13,28,"[5, 0, 4, 1, 7, 2, 6, 3]"
8,20,0.05,1,True,5,28,"[3, 1, 6, 2, 5, 7, 0, 4]"
8,20,0.05,2,False,-1,27,"[0, 3, 6, 2, 5, 1, 7, 4]"
8,20,0.05,3,False,-1,27,"[0, 3, 6, 2, 5, 1, 7, 4]"
8,20,0.05,4,False,-1,27,"[0, 7, 4, 6, 1, 2, 5, 3]"
8,20,0.1,0,False,-1,27,"[7, 4, 2, 0, 5, 3, 1, 6]"
8,20,0.1,1,False,-1,27,"[5, 0, 1, 6, 4, 2, 7, 3]"
8,20,0.1,2,True,47,28,"[4, 0, 7, 5, 2, 6, 1, 3]"
8,20,0.1,3,True,462,28,"[4, 1, 7, 0, 3, 6, 2, 5]"
8,20,0.1,4,True,27,28,"[2, 4, 6, 0, 3, 1, 7, 5]"
8,20,0.15,0,True,120,28,"[5, 3, 6, 0, 2, 4, 1, 7]"
8,20,0.15,1,True,3,28,"[1, 5, 7, 2, 0, 3, 6, 4]"
8,20,0.15,2,True,287,28,"[4, 6, 1, 5, 2, 0, 7, 3]"
8,20,0.15,3,True,6,28,"[2, 5, 7, 1, 3, 0, 6, 4]"
8,20,0.15,4,False,-1,27,"[7, 1, 4, 0, 5, 3, 2, 6]"
8,20,0.2,0,True,4,28,"[4, 6, 0, 2, 7, 5, 3, 1]"
8,20,0.2,1,True,4,28,"[2, 4, 6, 0, 3, 1, 7, 5]"
8,20,0.2,2,True,12,28,"[3, 7, 4, 2, 0, 6, 1, 5]"
8,20,0.2,3,True,1,28,"[2, 4, 7, 3, 0, 6, 1, 5]"
8,20,0.2,4,True,1,28,"[4, 6, 1, 3, 7, 0, 2, 5]"
8,20,0.3,0,True,19,28,"[3, 1, 6, 2, 5, 7, 0, 4]"
8,20,0.3,1,True,9,28,"[5, 1, 6, 0, 3, 7, 4, 2]"
8,20,0.3,2,True,129,28,"[4, 6, 1, 3, 7, 0, 2, 5]"
8,20,0.3,3,True,80,28,"[3, 7, 0, 2, 5, 1, 6, 4]"
